Date,Records,Bytes,Packets
2021/03/28T12:50:00,2.02,131.82,2.32
2021/03/28T12:55:00,207.98,963369.18,6577.68
2021/03/28T13:00:00,0.00,0.00,0.00
2021/03/28T13:05:00,0.00,0.00,0.00
2021/03/28T13:10:00,0.00,0.00,0.00
2021/03/28T13:15:00,25.83,18825.11,203.94
2021/03/28T13:20:00,114.54,709782.73,7634.44
2021/03/28T13:25:00,138.02,992033.04,10060.36
2021/03/28T13:30:00,132.35,601107.19,9258.08
2021/03/28T13:35:00,140.15,4053773.79,12448.94
2021/03/28T13:40:00,98.71,570362.71,8766.94
2021/03/28T13:45:00,149.98,4103721.56,12133.58
2021/03/28T13:50:00,79.42,1030888.86,7746.73
2021/03/28T13:55:00,0.00,0.00,0.00
2021/03/28T14:00:00,0.00,0.00,0.00
2021/03/28T14:05:00,0.00,0.00,0.00
2021/03/28T14:10:00,0.00,0.00,0.00
2021/03/28T14:15:00,0.00,0.00,0.00
2021/03/28T14:20:00,0.00,0.00,0.00
2021/03/28T14:25:00,0.00,0.00,0.00
2021/03/28T14:30:00,0.00,0.00,0.00
2021/03/28T14:35:00,0.00,0.00,0.00
2021/03/28T14:40:00,0.00,0.00,0.00
2021/03/28T14:45:00,0.00,0.00,0.00
2021/03/28T14:50:00,0.00,0.00,0.00
2021/03/28T14:55:00,0.00,0.00,0.00
2021/03/28T15:00:00,0.00,0.00,0.00
2021/03/28T15:05:00,0.00,0.00,0.00
2021/03/28T15:10:00,0.00,0.00,0.00
2021/03/28T15:15:00,364.78,1911918.85,2675.07
2021/03/28T15:20:00,217.92,1731132.78,2161.48
2021/03/28T15:25:00,250.39,63985581.36,47841.32
2021/03/28T15:30:00,135.85,113991118.02,83615.48
2021/03/28T15:35:00,142.39,69219970.98,50992.71
2021/03/28T15:40:00,135.91,116098121.13,85259.43
2021/03/28T15:45:00,182.87,16116260.44,12358.57
2021/03/28T15:50:00,148.36,3919823.99,3804.30
2021/03/28T15:55:00,5.78,20799.90,52.10
2021/03/28T16:00:00,226.27,3621893.52,3854.23
2021/03/28T16:05:00,379.27,112075042.87,78719.71
2021/03/28T16:10:00,158.89,7940065.62,10367.35
2021/03/28T16:15:00,204.62,1177128.54,2458.08
2021/03/28T16:20:00,168.06,3542783.56,3422.17
2021/03/28T16:25:00,227.04,1594567.18,2363.46
2021/03/28T16:30:00,291.36,2429803.89,3316.13
2021/03/28T16:35:00,221.55,3538817.47,3883.10
2021/03/28T16:40:00,281.43,3590677.02,4008.88
2021/03/28T16:45:00,223.42,992661.13,1880.44
2021/03/28T16:50:00,151.29,32438496.65,22334.39
2021/03/28T16:55:00,189.44,33443792.63,28246.92
2021/03/28T17:00:00,174.57,48726011.64,34856.72
2021/03/28T17:05:00,1.54,25763.83,39.97
